K,N,dim,vol,delta_bar,delta_min,inverse_delta_min,irrelevant_pairs,type
2,9,2,6.250e-02,0.2500,0.2500,4.000,1,Param.
2,19,2,1.402e-02,0.1184,0.1184,8.444,1,Param.
2,49,2,2.108e-03,0.0459,0.0459,21.778,1,Param.
3,9,6,6.592e-03,0.5000,0.2500,4.000,2,Param.
3,19,6,7.446e-05,0.2368,0.1184,8.444,2,Param.
3,49,6,2.531e-07,0.0918,0.0459,21.778,2,Param.
4,9,12,3.017e-03,0.7500,0.2500,4.000,3,Param.
4,19,12,3.850e-07,0.3553,0.1184,8.444,3,Param.
4,49,12,4.448e-12,0.1378,0.0459,21.778,3,Param.
3,10,6,9.261e-03,0.4750,0.3500,2.857,1,Indep.
